Lambda  Total   CH3CN+   CH2CN+H  CHCN+H2  CH2+HCN  CH2CN/H  CH3/CNB2 CH3/CNA2
 1270.0 3.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.25E-17 3.84E-19 1.11E-19
 1272.0 3.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.74E-17 4.41E-19 1.29E-19
 1273.0 3.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.15E-17 3.70E-19 1.10E-19
 1275.0 3.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.84E-17 4.50E-19 1.35E-19
 1280.0 4.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.94E-17 4.44E-19 1.40E-19
 1282.0 2.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.66E-17 2.91E-19 9.45E-20
 1284.0 1.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.87E-17 2.00E-19 6.65E-20
 1287.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.96E-17 3.15E-19 1.05E-19
 1291.0 1.01E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.96E-17 1.06E-18 3.54E-19
 1298.0 2.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.66E-17 2.76E-19 7.79E-20
 1300.0 1.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.88E-17 1.92E-19 5.51E-20
 1310.0 1.12E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.11E-17 1.11E-19 3.44E-20
 1320.0 9.10E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.98E-18 9.08E-20 2.75E-20
 1330.0 8.87E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.76E-18 8.86E-20 2.50E-20
 1340.0 9.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.89E-18 8.99E-20 2.32E-20
 1350.0 8.63E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-18 8.62E-20 2.02E-20
 1360.0 8.67E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.57E-18 8.66E-20 1.82E-20
 1370.0 8.15E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.05E-18 8.14E-20 1.52E-20
 1380.0 8.17E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.08E-18 8.16E-20 1.33E-20
 1390.0 7.36E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.28E-18 7.35E-20 1.02E-20
 1400.0 6.07E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.00E-18 6.06E-20 6.95E-21
 1410.0 5.12E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.06E-18 5.11E-20 4.64E-21
 1420.0 4.26E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.21E-18 4.26E-20 2.84E-21
 1430.0 3.27E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.24E-18 3.27E-20 1.39E-21
 1500.0 1.05E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.04E-18 0.00E+00 9.18E-21
 1550.0 8.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.94E-19 0.00E+00 6.03E-21
 1600.0 6.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.96E-19 0.00E+00 3.81E-21
 1650.0 1.15E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.14E-19 0.00E+00 5.92E-22
 1700.0 8.00E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.97E-20 0.00E+00 3.16E-22
 1750.0 1.30E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.30E-20 0.00E+00 3.58E-23
 1800.0 1.05E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.05E-20 0.00E+00 1.63E-23
 1850.0 1.05E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.05E-21 0.00E+00 3.77E-25
 3080.0 1.00E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-23 0.00E+00 0.00E+00
