Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
 1210.5 1.94E-17 6.32E-18 3.72E-18 8.54E-18 8.15E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1214.0 7.20E-18 2.24E-18 1.29E-18 2.97E-18 7.06E-19 0.00E+00 0.00E+00 0.00E+00 7.99E-34
 1215.0 7.20E-18 2.31E-18 1.31E-18 2.98E-18 5.98E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1217.0 9.40E-18 3.14E-18 1.75E-18 4.00E-18 5.08E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1218.0 2.20E-17 7.77E-18 4.22E-18 9.59E-18 4.18E-19 0.00E+00 0.00E+00 0.00E+00 2.44E-33
 1219.0 1.03E-17 3.65E-18 1.95E-18 4.41E-18 2.99E-19 0.00E+00 0.00E+00 0.00E+00 1.14E-33
 1220.0 9.50E-18 3.44E-18 1.81E-18 4.05E-18 2.00E-19 0.00E+00 0.00E+00 0.00E+00 1.05E-33
 1220.0 9.50E-18 3.52E-18 1.81E-18 4.18E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1221.5 2.19E-17 8.21E-18 4.16E-18 9.53E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1225.0 1.20E-17 4.56E-18 2.28E-18 5.16E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1226.5 1.49E-17 5.74E-18 2.83E-18 6.33E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1229.0 4.50E-18 1.75E-18 8.55E-19 1.89E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1230.0 4.70E-18 1.86E-18 8.93E-19 1.95E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1230.5 6.50E-18 2.60E-18 1.23E-18 2.66E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1231.5 6.30E-18 2.52E-18 1.20E-18 2.58E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1233.5 2.16E-17 8.64E-18 4.10E-18 8.86E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1237.0 8.60E-18 3.44E-18 1.63E-18 3.53E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1238.5 2.87E-17 1.16E-17 5.42E-18 1.17E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1240.0 1.30E-17 5.28E-18 2.44E-18 5.28E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1242.0 1.20E-17 4.92E-18 2.24E-18 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1244.0 3.20E-18 1.33E-18 5.93E-19 1.28E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1247.0 4.50E-18 1.89E-18 8.24E-19 1.78E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1249.5 2.72E-17 1.16E-17 4.94E-18 1.07E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1252.5 6.30E-18 2.72E-18 1.13E-18 2.45E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
